SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SiteAddress
玉井橋,Yujing Bridge,台南市,玉井區,曾文溪流域,曾文溪,120.4583130,23.1178810,194518.18,2557439.49,台南市玉井區台20線公路35公里處
玉成橋(原為嘉里二號橋),Chiali No 2 Bridge,花蓮縣,新城鄉,美崙溪流域,美崙溪,121.6049460,24.0168970,311540.97,2657026.72,花蓮縣新城鄉嘉里村嘉里二號底
玉里大橋,Yulida Bridge,花蓮縣,玉里鎮,秀姑巒溪流域,秀姑巒溪,121.3277660,23.3229250,283519.77,2580080.31,花蓮縣玉里鎮9號公路與縣195甲交會口附近
玉峰大橋,Yufonda Bridge,台南市,山上區,曾文溪流域,曾文溪,120.3698980,23.0970610,185452.11,2555170.28,台南市山上區山上里南184線
玉峰大橋,Yufonda Bridge,南投縣,水里鄉,濁水溪流域,濁水溪,120.8434800,23.8084050,234051.91,2633813.61,南投縣水里鄉縣131公路35km處
甘宅二號橋(原為木屐寮),Mugiliao,台南市,白河區,急水溪流域,急水溪,120.4542360,23.3630090,194202.61,2584586.51,台南市白河區木屐寮南93線公路
甲仙取水口(取代四德大橋),Jiasian Intake,高雄市,甲仙區,高屏溪流域,高屏溪,120.5843250,23.0826203,207656.58,2553709.16,高雄市甲仙區甲仙大橋上游150公尺處(攔砂壩)
白布帆大橋,Beifan Bridge,苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.9080240,24.2937610,240663.62,2687560.05,苗栗縣卓蘭鎮內彎里東盛84之5號
白米橋,Bimei Bridge,宜蘭縣,蘇澳鎮,蘇澳溪流域,蘇澳溪,121.8537200,24.5961700,336456.16,2721317.91,宜蘭縣蘇澳鎮9號公路蘇花公路入口
石安橋,Shihan Bridge,高雄市,阿蓮區,二仁溪流域,二仁溪,120.3020530,22.9027730,178399.44,2533686.74,高9線
石岡壩,Shihgang Dam,台中市,石岡區,大甲溪流域,大甲溪,120.7690560,24.2828950,226555.00,2686373.00,台中市石岡區台3號公路15km處
石門村過四重溪水泥橋(原為石門),Shihmen,屏東縣,牡丹鄉,四重溪流域,四重溪,120.7633400,22.1135960,225583.83,2446153.41,屏東縣牡丹鄉199線公路
石榴班橋,Shihliuban Bridge,雲林縣,斗六市,北港溪流域,北港溪(雲),120.5732700,23.7186030,206489.66,2623924.96,雲林縣斗六市3號公路258km處
同心橋,Tonsin Bridge,台南市,左鎮區,鹽水溪流域,鹽水溪,120.3735660,23.0472950,185804.33,2549657.68,台南市左鎮區
名竹大橋,Minchiuda Bridge,南投縣,名間鄉,濁水溪流域,濁水溪,120.7058460,23.8178040,220030.20,2634876.71,南投縣名間鄉3號公路34km處
后豐大橋,Houfonda Bridge,台中市,后里區,大甲溪流域,大甲溪,120.7228050,24.2826860,221859.65,2686358.35,台中市后里區13號公路
宅港橋,Jhaigon Bridge,台南市,學甲區,急水溪流域,急水溪,120.2041130,23.2533410,168563.03,2572560.10,台南市學甲區台19線公路(110.9公里處)
尖山大橋(取代中港溪橋),Jhonggang River Bridge,苗栗縣,頭份鎮,中港溪流域,中港溪,120.8817000,24.6669460,238026.84,2728893.88,苗栗縣頭份鎮尖山台1號與13號公路交叉口
成美橋,Chenmei Bridge,台北市,內湖區,淡水河流域,基隆河,121.5832950,25.0536690,308852.85,2771848.99,台北市內湖區新明路與舊宗路口(內湖區與南港區交界)
朴子口,Puzihko,台中市,豐原區,大甲溪流域,大甲溪,120.7658657,24.2772917,226247.00,2685750.00,台中市豐原給水廠進水口
朴子溪橋,Puzih River Bridge,嘉義縣,朴子市,朴子溪流域,朴子溪,120.2450610,23.4756060,172881.74,2597152.39,嘉義縣朴子市台19線公路(80.5公里處)
江北橋,Jiangpei Bridge,新北市,汐止區,淡水河流域,基隆河,121.6556400,25.0685730,316144.52,2773533.29,新北市汐止區汐萬路江北橋
百齡橋,Bialin Bridge,台北市,士林區,淡水河流域,基隆河,121.5137260,25.0884350,301818.85,2775671.35,台北市士林區承德路百齡橋
竹東大橋,Jhudongda Bridge,新竹縣,竹東鎮,頭前溪流域,頭前溪,121.1032940,24.7226750,260449.75,2735065.04,新竹縣竹東鎮3號公路
竹林大橋,Jhulinda Bridge,新竹縣,竹東鎮,頭前溪流域,頭前溪,121.0935960,24.7476840,259466.79,2737834.34,新竹縣竹東鎮123號公路
